,document_text,
The Bundle of Sticks,"A certain Father had a family of Sons, who were forever quarreling among themselves. No words he could say did the least good, so he cast about in his mind for some very striking example that should make them see that discord would lead them to misfortune.One day when the quarreling had been much more violent than usual and each of the Sons was moping in a surly manner, he asked one of them to bring him a bundle of sticks. Then handing the bundle to each of his Sons in turn he told them to try to break it. But although each one tried his best, none was able to do so.The Father then untied the bundle and gave the sticks to his Sons to break one by one. This they did very easily.""My Sons,"" said the Father, ""do you not see how certain it is that if you agree with each other and help each other, it will be impossible for your enemies to injure you? But if you are divided among yourselves, you will be no stronger than a single stick in that bundle.""In unity is strength.",In unity is strength.
The Farmer & the Stork,"A Stork of a very simple and trusting nature had been asked by a gay party of Cranes to visit a field that had been newly planted. But the party ended dismally with all the birds entangled in the meshes of the Farmer's net.The Stork begged the Farmer to spare him.""Please let me go,"" he pleaded. ""I belong to the Stork family who you know are honest and birds of good character. Besides, I did not know the Cranes were going to steal.""""You may be a very good bird,"" answered the Farmer, ""but I caught you with the thieving Cranes and you will have to share the same punishment with them.""You are judged by the company you keep.",You are judged by the company you keep.
The Ass & His Driver,"An Ass was being driven along a road leading down the mountain side, when he suddenly took it into his silly head to choose his own path. He could see his stall at the foot of the mountain, and to him the quickest way down seemed to be over the edge of the nearest cliff. Just as he was about to leap over, his master caught him by the tail and tried to pull him back, but the stubborn Ass would not yield and pulled with all his might.""Very well,"" said his master, ""go your way, you willful beast, and see where it leads you.""With that he let go, and the foolish Ass tumbled head over heels down the mountain side.They who will not listen to reason but stubbornly go their own way against the friendly advice of those who are wiser than they, are on the road to misfortune.","They who will not listen to reason but stubbornly go their own way against the friendly advice of those who are wiser than they, are on the road to misfortune."
The Oxen & the Wheels,"A pair of Oxen were drawing a heavily loaded wagon along a miry country road. They had to use all their strength to pull the wagon, but they did not complain.The Wheels of the wagon were of a different sort. Though the task they had to do was very light compared with that of the Oxen, they creaked and groaned at every turn. The poor Oxen, pulling with all their might to draw the wagon through the deep mud, had their ears filled with the loud complaining of the Wheels. And this, you may well know, made their work so much the harder to endure.""Silence!"" the Oxen cried at last, out of patience. ""What have you Wheels to complain about so loudly? We are drawing all the weight, not you, and we are keeping still about it besides.""They complain most who suffer least.",They complain most who suffer least.
The Sheep & the Pig,"One day a shepherd discovered a fat Pig in the meadow where his Sheep were pastured. He very quickly captured the porker, which squealed at the top of its voice the moment the Shepherd laid his hands on it. You would have thought, to hear the loud squealing, that the Pig was being cruelly hurt. But in spite of its squeals and struggles to escape, the Shepherd tucked his prize under his arm and started off to the butcher's in the market place.The Sheep in the pasture were much astonished and amused at the Pig's behavior, and followed the Shepherd and his charge to the pasture gate.""What makes you squeal like that?"" asked one of the Sheep. ""The Shepherd often catches and carries off one of us. But we should feel very much ashamed to make such a terrible fuss about it like you do.""""That is all very well,"" replied the Pig, with a squeal and a frantic kick. ""When he catches you he is only after your wool. But he wants my bacon! gree-ee-ee!""It is easy to be brave when there is no danger.",It is easy to be brave when there is no danger.
The Lion & the Ass,"One day as the Lion walked proudly down a forest aisle, and the animals respectfully made way for him, an Ass brayed a scornful remark as he passed.The Lion felt a flash of anger. But when he turned his head and saw who had spoken, he walked quietly on. He would not honor the fool with even so much as a stroke of his claws.Do not resent the remarks of a fool. Ignore them.",Do not resent the remarks of a fool. Ignore them.
The Shepherd Boy & the Wolf,"A Shepherd Boy tended his master's Sheep near a dark forest not far from the village. Soon he found life in the pasture very dull. All he could do to amuse himself was to talk to his dog or play on his shepherd's pipe.One day as he sat watching the Sheep and the quiet forest, and thinking what he would do should he see a Wolf, he thought of a plan to amuse himself.His Master had told him to call for help should a Wolf attack the flock, and the Villagers would drive it away. So now, though he had not seen anything that even looked like a Wolf, he ran toward the village shouting at the top of his voice, ""Wolf! Wolf!""As he expected, the Villagers who heard the cry dropped their work and ran in great excitement to the pasture. But when they got there they found the Boy doubled up with laughter at the trick he had played on them.A few days later the Shepherd Boy again shouted, ""Wolf! Wolf!"" Again the Villagers ran to help him, only to be laughed at again.Then one evening as the sun was setting behind the forest and the shadows were creeping out over the pasture, a Wolf really did spring from the underbrush and fall upon the Sheep.In terror the Boy ran toward the village shouting ""Wolf! Wolf!"" But though the Villagers heard the cry, they did not run to help him as they had before. ""He cannot fool us again,"" they said.The Wolf killed a great many of the Boy's sheep and then slipped away into the forest.Liars are not believed even when they speak the truth.",Liars are not believed even when they speak the truth.
The Frogs Who Wished for a King,"The Frogs were tired of governing themselves. They had so much freedom that it had spoiled them, and they did nothing but sit around croaking in a bored manner and wishing for a government that could entertain them with the pomp and display of royalty, and rule them in a way to make them know they were being ruled. No milk and water government for them, they declared. So they sent a petition to Jupiter asking for a king.Jupiter saw what simple and foolish creatures they were, but to keep them quiet and make them think they had a king he threw down a huge log, which fell into the water with a great splash. The Frogs hid themselves among the reeds and grasses, thinking the new king to be some fearful giant. But they soon discovered how tame and peaceable King Log was. In a short time the younger Frogs were using him for a diving platform, while the older Frogs made him a meeting place, where they complained loudly to Jupiter about the government.To teach the Frogs a lesson the ruler of the gods now sent a Crane to be king of Frogland. The Crane proved to be a very different sort of king from old King Log. He gobbled up the poor Frogs right and left and they soon saw what fools they had been. In mournful croaks they begged Jupiter to take away the cruel tyrant before they should all be destroyed.""How now!"" cried Jupiter ""Are you not yet content? You have what you asked for and so you have only yourselves to blame for your misfortunes.""Be sure you can better your condition before you seek to change.",Be sure you can better your condition before you seek to change.
The Wolf & His Shadow,"A Wolf left his lair one evening in fine spirits and an excellent appetite. As he ran, the setting sun cast his shadow far out on the ground, and it looked as if the wolf were a hundred times bigger than he really was.""Why,"" exclaimed the Wolf proudly, ""see how big I am! Fancy me running away from a puny Lion! I'll show him who is fit to be king, he or I.""Just then an immense shadow blotted him out entirely, and the next instant a Lion struck him down with a single blow.Do not let your fancy make you forget realities.",Do not let your fancy make you forget realities.
The Boys & the Frogs,"Some Boys were playing one day at the edge of a pond in which lived a family of Frogs. The Boys amused themselves by throwing stones into the pond so as to make them skip on top of the water.The stones were flying thick and fast and the Boys were enjoying themselves very much; but the poor Frogs in the pond were trembling with fear.At last one of the Frogs, the oldest and bravest, put his head out of the water, and said, ""Oh, please, dear children, stop your cruel play! Though it may be fun for you, it means death to us!""Always stop to think whether your fun may not be the cause of another's unhappiness.",Always stop to think whether your fun may not be the cause of another's unhappiness.
The Rat & the Elephant,"A Rat was traveling along the King's highway. He was a very proud Rat, considering his small size and the bad reputation all Rats have. As Mr. Rat walked alonghe kept mostly to the ditchhe noticed a great commotion up the road, and soon a grand procession came in view. It was the King and his retinue.The King rode on a huge Elephant adorned with the most gorgeous trappings. With the King in his luxurious howdah were the royal Dog and Cat. A great crowd of people followed the procession. They were so taken up with admiration of the Elephant, that the Rat was not noticed. His pride was hurt.""What fools!"" he cried. ""Look at me, and you will soon forget that clumsy Elephant! Is it his great size that makes your eyes pop out? Or is it his wrinkled hide? Why, I have eyes and ears and as many legs as he! I am of just as much importance, and""But just then the royal Cat spied him, and the next instant, the Rat knew he was not quite so important as an Elephant.A resemblance to the great in some things does not make us great.",A resemblance to the great in some things does not make us great.
The Ants & the Grasshopper,"One bright day in late autumn a family of Ants were bustling about in the warm sunshine, drying out the grain they had stored up during the summer, when a starving Grasshopper, his fiddle under his arm, came up and humbly begged for a bite to eat.""What!"" cried the Ants in surprise, ""haven't you stored anything away for the winter? What in the world were you doing all last summer?""""I didn't have time to store up any food,"" whined the Grasshopper; ""I was so busy making music that before I knew it the summer was gone.""The Ants shrugged their shoulders in disgust.""Making music, were you?"" they cried. ""Very well; now dance!"" And they turned their backs on the Grasshopper and went on with their work.There's a time for work and a time for play.",There's a time for work and a time for play.
A Raven & a Swan,"A Raven, which you know is black as coal, was envious of the Swan, because her feathers were as white as the purest snow. The foolish bird got the idea that if he lived like the Swan, swimming and diving all day long and eating the weeds and plants that grow in the water, his feathers would turn white like the Swan's.So he left his home in the woods and fields and flew down to live on the lakes and in the marshes. But though he washed and washed all day long, almost drowning himself at it, his feathers remained as black as ever. And as the water weeds he ate did not agree with him, he got thinner and thinner, and at last he died.A change of habits will not alter nature.",A change of habits will not alter nature.
The Ass & the Load of Salt,"A Merchant, driving his Ass homeward from the seashore with a heavy load of salt, came to a river crossed by a shallow ford. They had crossed this river many times before without accident, but this time the Ass slipped and fell when halfway over. And when the Merchant at last got him to his feet, much of the salt had melted away. Delighted to find how much lighter his burden had become, the Ass finished the journey very gayly.Next day the Merchant went for another load of salt. On the way home the Ass, remembering what had happened at the ford, purposely let himself fall into the water, and again got rid of most of his burden.The angry Merchant immediately turned about and drove the Ass back to the seashore, where he loaded him with two great baskets of sponges. At the ford the Ass again tumbled over; but when he had scrambled to his feet, it was a very disconsolate Ass that dragged himself homeward under a load ten times heavier than before.The same measures will not suit all circumstances.",The same measures will not suit all circumstances.
The Ass Carrying the Image,"A sacred Image was being carried to the temple. It was mounted on an Ass adorned with garlands and gorgeous trappings, and a grand procession of priests and pages followed it through the streets. As the Ass walked along, the people bowed their heads reverently or fell on their knees, and the Ass thought the honor was being paid to himself.With his head full of this foolish idea, he became so puffed up with pride and vanity that he halted and started to bray loudly. But in the midst of his song, his driver guessed what the Ass had got into his head, and began to beat him unmercifully with a stick.""Go along with you, you stupid Ass,"" he cried. ""The honor is not meant for you but for the image you are carrying.""Do not try to take the credit to yourself that is due to others.",Do not try to take the credit to yourself that is due to others.
The Lion & the Gnat,"""Away with you, vile insect!"" said a Lion angrily to a Gnat that was buzzing around his head. But the Gnat was not in the least disturbed.""Do you think,"" he said spitefully to the Lion, ""that I am afraid of you because they call you king?""The next instant he flew at the Lion and stung him sharply on the nose. Mad with rage, the Lion struck fiercely at the Gnat, but only succeeded in tearing himself with his claws. Again and again the Gnat stung the Lion, who now was roaring terribly. At last, worn out with rage and covered with wounds that his own teeth and claws had made, the Lion gave up the fight.The Gnat buzzed away to tell the whole world about his victory, but instead he flew straight into a spider's web. And there, he who had defeated the King of beasts came to a miserable end, the prey of a little spider.The least of our enemies is often the most to be feared.
","The least of our enemies is often the most to be feared.
"
The Leap at Rhodes,"A certain man who visited foreign lands could talk of little when he returned to his home except the wonderful adventures he had met with and the great deeds he had done abroad.One of the feats he told about was a leap he had made in a city Called Rhodes. That leap was so great, he said, that no other man could leap anywhere near the distance. A great many persons in Rhodes had seen him do it and would prove that what he told was true.""No need of witnesses,"" said one of the hearers. ""Suppose this city is Rhodes. Now show us how far you can jump.""Deeds count, not boasting words.","Deeds count, not boasting words."
The Cock & the Jewel,"A Cock was busily scratching and scraping about to find something to eat for himself and his family, when he happened to turn up a precious jewel that had been lost by its owner.""Aha!"" said the Cock. ""No doubt you are very costly and he who lost you would give a great deal to find you. But as for me, I would choose a single grain of barleycorn before all the jewels in the world.""Precious things are without value to those who cannot prize them.",Precious things are without value to those who cannot prize them.
The Monkey & the Camel,"At a great celebration in honor of King Lion, the Monkey was asked to dance for the company. His dancing was very clever indeed, and the animals were all highly pleased with his grace and lightness.The praise that was showered on the Monkey made the Camel envious. He was very sure that he could dance quite as well as the Monkey, if not better, so he pushed his way into the crowd that was gathered around the Monkey, and rising on his hind legs, began to dance. But the big hulking Camel made himself very ridiculous as he kicked out his knotty legs and twisted his long clumsy neck. Besides, the animals found it hard to keep their toes from under his heavy hoofs.At last, when one of his huge feet came within an inch of King Lion's nose, the animals were so disgusted that they set upon the Camel in a rage and drove him out into the desert.Shortly afterward, refreshments, consisting mostly of Camel's hump and ribs, were served to the company.Do not try to ape your betters.",Do not try to ape your betters.
"The Ass, the Fox, & the Lion","An Ass and a Fox had become close comrades, and were constantly in each other's company. While the Ass cropped a fresh bit of greens, the Fox would devour a chicken from the neighboring farmyard or a bit of cheese filched from the dairy. One day the pair unexpectedly met a Lion. The Ass was very much frightened, but the Fox calmed his fears.""I will talk to him,"" he said.So the Fox walked boldly up to the Lion.""Your highness,"" he said in an undertone, so the Ass could not hear him, ""I've got a fine scheme in my head. If you promise not to hurt me, I will lead that foolish creature yonder into a pit where he can't get out, and you can feast at your pleasure.""The Lion agreed and the Fox returned to the Ass.""I made him promise not to hurt us,"" said the Fox. ""But come, I know a good place to hide till he is gone.""So the Fox led the Ass into a deep pit. But when the Lion saw that the Ass was his for the taking, he first of all struck down the traitor Fox.Traitors may expect treachery.",Traitors may expect treachery.
The Wolf & the Lamb,"A stray Lamb stood drinking early one morning on the bank of a woodland stream. That very same morning a hungry Wolf came by farther up the stream, hunting for something to eat. He soon got his eyes on the Lamb. As a rule Mr. Wolf snapped up such delicious morsels without making any bones about it, but this Lamb looked so very helpless and innocent that the Wolf felt he ought to have some kind of an excuse for taking its life.""How dare you paddle around in my stream and stir up all the mud!"" he shouted fiercely. ""You deserve to be punished severely for your rashness!""""But, your highness,"" replied the trembling Lamb, ""do not be angry! I cannot possibly muddy the water you are drinking up there. Remember, you are upstream and I am downstream.""""You do muddy it!"" retorted the Wolf savagely. ""And besides, I have heard that you told lies about me last year!""""How could I have done so?"" pleaded the Lamb. ""I wasn't born until this year.""""If it wasn't you, it was your brother!""""I have no brothers.""""Well, then,"" snarled the Wolf, ""It was someone in your family anyway. But no matter who it was, I do not intend to be talked out of my breakfast.""And without more words the Wolf seized the poor Lamb and carried her off to the forest.The tyrant can always find an excuse for his tyranny.
","The tyrant can always find an excuse for his tyranny.
"
"The Birds, the Beasts, & the Bat","The Birds and the Beasts declared war against each other. No compromise was possible, and so they went at it tooth and claw. It is said the quarrel grew out of the persecution the race of Geese suffered at the teeth of the Fox family. The Beasts, too, had cause for fight. The Eagle was constantly pouncing on the Hare, and the Owl dined daily on Mice.It was a terrible battle. Many a Hare and many a Mouse died. Chickens and Geese fell by the scoreand the victor always stopped for a feast.Now the Bat family had not openly joined either side. They were a very politic race. So when they saw the Birds getting the better of it, they were Birds for all there was in it. But when the tide of battle turned, they immediately sided with the Beasts.When the battle was over, the conduct of the Bats was discussed at the peace conference. Such deceit was unpardonable, and Birds and Beasts made common cause to drive out the Bats. And since then the Bat family hides in dark towers and deserted ruins, flying out only in the night.The deceitful have no friends.",The deceitful have no friends.
"The Lion, the Bear, & the Fox","Just as a great Bear rushed to seize a stray kid, a Lion leaped from another direction upon the same prey. The two fought furiously for the prize until they had received so many wounds that both sank down unable to continue the battle.Just then a Fox dashed up, and seizing the kid, made off with it as fast as he could go, while the Lion and the Bear looked on in helpless rage.""How much better it would have been,"" they said, ""to have shared in a friendly spirit.""Those who have all the toil do not always get the profit.",Those who have all the toil do not always get the profit.
The Wolf & the Sheep,"A Wolf had been hurt in a fight with a Bear. He was unable to move and could not satisfy his hunger and thirst. A Sheep passed by near his hiding place, and the Wolf called to him.""Please fetch me a drink of water,"" he begged, ""that might give me strength enough so I can get me some solid food.""""Solid food!"" said the Sheep. ""That means me, I suppose. If I should bring you a drink, it would only serve to wash me down your throat. Don't talk to me about a drink!""A knave's hypocrisy is easily seen through.",A knave's hypocrisy is easily seen through.
The Hares & the Frogs,"Hares, as you know, are very timid. The least shadow, sends them scurrying in fright to a hiding place. Once they decided to die rather than live in such misery. But while they were debating how best to meet death, they thought they heard a noise and in a flash were scampering off to the warren. On the way they passed a pond where a family of Frogs was sitting among the reeds on the bank. In an instant the startled Frogs were seeking safety in the mud.""Look,"" cried a Hare, ""things are not so bad after all, for here are creatures who are even afraid of us!""However unfortunate we may think we are there is always someone worse off than ourselves.",However unfortunate we may think we are there is always someone worse off than ourselves.
The Travelers & the Sea,"Two Travelers were walking along the seashore. Far out they saw something riding on the waves.""Look,"" said one, ""a great ship rides in from distant lands, bearing rich treasures!""The object they saw came ever nearer the shore.""No,"" said the other, ""that is not a treasure ship. That is some fisherman's skiff, with the day's catch of savoury fish.""Still nearer came the object. The waves washed it up on shore.""It is a chest of gold lost from some wreck,"" they cried. Both Travelers rushed to the beach, but there they found nothing but a water-soaked log.Do not let your hopes carry you away from reality.",Do not let your hopes carry you away from reality.
The Wolf & the Lion,"A Wolf had stolen a Lamb and was carrying it off to his lair to eat it. But his plans were very much changed when he met a Lion, who, without making any excuses, took the Lamb away from him.The Wolf made off to a safe distance, and then said in a much injured tone:""You have no right to take my property like that!""The Lion looked back, but as the Wolf was too far away to be taught a lesson without too much inconvenience, he said:""Your property? Did you buy it, or did the Shepherd make you a gift of it? Pray tell me, how did you get it?""What is evil won is evil lost.",What is evil won is evil lost.
The Peacock,"The Peacock, they say, did not at first have the beautiful feathers in which he now takes so much pride. These, Juno, whose favorite he was, granted to him one day when he begged her for a train of feathers to distinguish him from the other birds. Then, decked in his finery, gleaming with emerald, gold, purple, and azure, he strutted proudly among the birds. All regarded him with envy. Even the most beautiful pheasant could see that his beauty was surpassed.Presently the Peacock saw an Eagle soaring high up in the blue sky and felt a desire to fly, as he had been accustomed to do. Lifting his wings he tried to rise from the ground. But the weight of his magnificent train held him down. Instead of flying up to greet the first rays of the morning sun or to bathe in the rosy light among the floating clouds at sunset, he would have to walk the ground more encumbered and oppressed than any common barnyard fowl.Do not sacrifice your freedom for the sake of pomp and show.",Do not sacrifice your freedom for the sake of pomp and show.
The Mice & the Weasels,"The Weasels and the Mice were always up in arms against each other. In every battle the Weasels carried off the victory, as well as a large number of the Mice, which they ate for dinner next day. In despair the Mice called a council, and there it was decided that the Mouse army was always beaten because it had no leaders. So a large number of generals and commanders were appointed from among the most eminent Mice.To distinguish themselves from the soldiers in the ranks, the new leaders proudly bound on their heads lofty crests and ornaments of feathers or straw. Then after long preparation of the Mouse army in all the arts of war, they sent a challenge to the Weasels.The Weasels accepted the challenge with eagerness, for they were always ready for a fight when a meal was in sight. They immediately attacked the Mouse army in large numbers. Soon the Mouse line gave way before the attack and the whole army fled for cover. The privates easily slipped into their holes, but the Mouse leaders could not squeeze through the narrow openings because of their head-dresses. Not one escaped the teeth of the hungry Weasels.Greatness has its penalties.",Greatness has its penalties.
The Wolf & the Lean Dog,"A Wolf prowling near a village one evening met a Dog. It happened to be a very lean and bony Dog, and Master Wolf would have turned up his nose at such meager fare had he not been more hungry than usual. So he began to edge toward the Dog, while the Dog backed away.""Let me remind your lordship,"" said the Dog, his words interrupted now and then as he dodged a snap of the Wolf's teeth, ""how unpleasant it would be to eat me now. Look at my ribs. I am nothing but skin and bone. But let me tell you something in private. In a few days my master will give a wedding feast for his only daughter. You can guess how fine and fat I will grow on the scraps from the table. Then is the time to eat me.""The Wolf could not help thinking how nice it would be to have a fine fat Dog to eat instead of the scrawny object before him. So he went away pulling in his belt and promising to return.Some days later the Wolf came back for the promised feast. He found the Dog in his master's yard, and asked him to come out and be eaten.""Sir,"" said the Dog, with a grin, ""I shall be delighted to have you eat me. I'll be out as soon as the porter opens the door.""But the ""porter"" was a huge Dog whom the Wolf knew by painful experience to be very unkind toward wolves. So he decided not to wait and made off as fast as his legs could carry him.Do not depend on the promises of those whose interest it is to deceive you.",Do not depend on the promises of those whose interest it is to deceive you.
The Fox & the Lion,"A very young Fox, who had never before seen a Lion, happened to meet one in the forest. A single look was enough to send the Fox off at top speed for the nearest hiding place.The second time the Fox saw the Lion he stopped behind a tree to look at him a moment before slinking away. But the third time, the Fox went boldly up to the Lion and, without turning a hair, said, ""Hello, there, old top.""Familiarity breeds contempt.
","Familiarity breeds contempt.
"
The Dog & His Master's Dinner,"A Dog had learned to carry his master's dinner to him every day. He was very faithful to his duty, though the smell of the good things in the basket tempted him.The Dogs in the neighborhood noticed him carrying the basket and soon discovered what was in it. They made several attempts to steal it from him. But he always guarded it faithfully.Then one day all the Dogs in the neighborhood got together and met him on his way with the basket. The Dog tried to run away from them. But at last he stopped to argue.That was his mistake. They soon made him feel so ridiculous that he dropped the basket and seized a large piece of roast meat intended for his master's dinner.""Very well,"" he said, ""you divide the rest.""Do not stop to argue with temptation.",Do not stop to argue with temptation.
The Vain Jackdaw & his Borrowed Feathers,"A Jackdaw chanced to fly over the garden of the King's palace. There he saw with much wonder and envy a flock of royal Peacocks in all the glory of their splendid plumage.Now the black Jackdaw was not a very handsome bird, nor very refined in manner. Yet he imagined that all he needed to make himself fit for the society of the Peacocks was a dress like theirs. So he picked up some castoff feathers of the Peacocks and stuck them among his own black plumes.Dressed in his borrowed finery he strutted loftily among the birds of his own kind. Then he flew down into the garden among the Peacocks. But they soon saw who he was. Angry at the cheat, they flew at him, plucking away the borrowed feathers and also some of his own.The poor Jackdaw returned sadly to his former companions. There another unpleasant surprise awaited him. They had not forgotten his superior airs toward them, and, to punish him, they drove him away with a rain of pecks and jeers.Borrowed feathers do not make fine birds.",Borrowed feathers do not make fine birds.
The Monkey & the Dolphin,"It happened once upon a time that a certain Greek ship bound for Athens was wrecked off the coast close to Piraeus, the port of Athens. Had it not been for the Dolphins, who at that time were very friendly toward mankind and especially toward Athenians, all would have perished. But the Dolphins took the shipwrecked people on their backs and swam with them to shore.Now it was the custom among the Greeks to take their pet monkeys and dogs with them whenever they went on a voyage. So when one of the Dolphins saw a Monkey struggling in the water, he thought it was a man, and made the Monkey climb up on his back. Then off he swam with him toward the shore.The Monkey sat up, grave and dignified, on the Dolphin's back.""You are a citizen of illustrious Athens, are you not?"" asked the Dolphin politely.""Yes,"" answered the Monkey, proudly. ""My family is one of the noblest in the city.""""Indeed,"" said the Dolphin. ""Then of course you often visit Piraeus.""""Yes, yes,"" replied the Monkey. ""Indeed, I do. I am with him constantly. Piraeus is my very best friend.""This answer took the Dolphin by surprise, and, turning his head, he now saw what it was he was carrying. Without more ado, he dived and left the foolish Monkey to take care of himself, while he swam off in search of some human being to save.One falsehood leads to another.",One falsehood leads to another.
The Monkey & the Cat,"Once upon a time a Cat and a Monkey lived as pets in the same house. They were great friends and were constantly in all sorts of mischief together. What they seemed to think of more than anything else was to get something to eat, and it did not matter much to them how they got it.One day they were sitting by the fire, watching some chestnuts roasting on the hearth. How to get them was the question.""I would gladly get them,"" said the cunning Monkey, ""but you are much more skillful at such things than I am. Pull them out and I'll divide them between us.""Pussy stretched out her paw very carefully, pushed aside some of the cinders, and drew back her paw very quickly. Then she tried it again, this time pulling a chestnut half out of the fire. A third time and she drew out the chestnut. This performance she went through several times, each time singeing her paw severely. As fast as she pulled the chestnuts out of the fire, the Monkey ate them up.Now the master came in, and away scampered the rascals, Mistress Cat with a burnt paw and no chestnuts. From that time on, they say, she contented herself with mice and rats and had little to do with Sir Monkey.The flatterer seeks some benefit at your expense.",The flatterer seeks some benefit at your expense.
The Dogs & and the Hides,"Some hungry Dogs saw a number of hides at the bottom of a stream where the Tanner had put them to soak. A fine hide makes an excellent meal for a hungry Dog, but the water was deep and the Dogs could not reach the hides from the bank. So they held a council and decided that the very best thing to do was to drink up the river.All fell to lapping up the water as fast as they could. But though they drank and drank until, one after another, all of them had burst with drinking, still, for all their effort, the water in the river remained as high as ever.Do not try to do impossible things.",Do not try to do impossible things.
"The Rabbit, the Weasel & the Cat","A Rabbit left his home one day for a dinner of clover. But he forgot to latch the door of his house and while he was gone a Weasel walked in and calmly made himself at home. When the Rabbit returned, there was the Weasel's nose sticking out of the Rabbit's own doorway, sniffing the fine air.The Rabbit was quite angryfor a Rabbit, and requested the Weasel to move out. But the Weasel was perfectly content. He was settled down for good.A wise old Cat heard the dispute and offered to settle it.""Come close to me,"" said the Cat, ""I am very deaf. Put your mouths close to my ears while you tell me the facts.""The unsuspecting pair did as they were told and in an instant the Cat had them both under her claws. No one could deny that the dispute had been definitely settled.The strong are apt to settle questions to their own advantage.",The strong are apt to settle questions to their own advantage.
The Wolf & the Ass,"An Ass was feeding in a pasture near a wood when he saw a Wolf lurking in the shadows along the hedge. He easily guessed what the Wolf had in mind, and thought of a plan to save himself. So he pretended he was lame, and began to hobble painfully.When the Wolf came up, he asked the Ass what had made him lame, and the Ass replied that he had stepped on a sharp thorn.""Please pull it out,"" he pleaded, groaning as if in pain. ""If you do not, it might stick in your throat when you eat me.""The Wolf saw the wisdom of the advice, for he wanted to enjoy his meal without any danger of choking. So the Ass lifted up his foot and the Wolf began to search very closely and carefully for the thorn.Just then the Ass kicked out with all his might, tumbling the Wolf a dozen paces away. And while the Wolf was getting very slowly and painfully to his feet, the Ass galloped away in safety.""Serves me right,"" growled the Wolf as he crept into the bushes. ""I'm a butcher by trade, not a doctor.""Stick to your trade.",Stick to your trade.
The Dogs & the Fox,"Some Dogs found the skin of a Lion and furiously began to tear it with their teeth. A Fox chanced to see them and laughed scornfully.""If that Lion had been alive,"" he said, ""it would have been a very different story. He would have made you feel how much sharper his claws are than your teeth.""It is easy and also contemptible to kick a man that is down.",It is easy and also contemptible to kick a man that is down.
The Bear & the Bees,"A Bear roaming the woods in search of berries happened on a fallen tree in which a swarm of Bees had stored their honey. The Bear began to nose around the log very carefully to find out if the Bees were at home. Just then one of the swarm came home from the clover field with a load of sweets. Guessing what the Bear was after, the Bee flew at him, stung him sharply and then disappeared into the hollow log.The Bear lost his temper in an instant, and sprang upon the log tooth and claw, to destroy the nest. But this only brought out the whole swarm. The poor Bear had to take to his heels, and he was able to save himself only by diving into a pool of water.It is wiser to bear a single injury in silence than to provoke a thousand by flying into a rage.",It is wiser to bear a single injury in silence than to provoke a thousand by flying into a rage.
The Dog in the Manger,"A Dog asleep in a manger filled with hay, was awakened by the Cattle, which came in tired and hungry from working in the field. But the Dog would not let them get near the manger, and snarled and snapped as if it were filled with the best of meat and bones, all for himself.The Cattle looked at the Dog in disgust. ""How selfish he is!"" said one. ""He cannot eat the hay and yet he will not let us eat it who are so hungry for it!""Now the farmer came in. When he saw how the Dog was acting, he seized a stick and drove him out of the stable with many a blow for his selfish behavior.Do not grudge others what you cannot enjoy yourself.",Do not grudge others what you cannot enjoy yourself.
The Wolf & the Goat,"A hungry Wolf spied a Goat browsing at the top of a steep cliff where he could not possibly get at her.""That is a very dangerous place for you,"" he called out, pretending to be very anxious about the Goat's safety. ""What if you should fall! Please listen to me and come down! Here you can get all you want of the finest, tenderest grass in the country.""The Goat looked over the edge of the cliff.""How very, very anxious you are about me,"" she said, ""and how generous you are with your grass! But I know you! It's your own appetite you are thinking of, not mine!""An invitation prompted by selfishness is not to be accepted.",An invitation prompted by selfishness is not to be accepted.
The Wolf & the Shepherd,"A Wolf had been prowling around a flock of Sheep for a long time, and the Shepherd watched very anxiously to prevent him from carrying off a Lamb. But the Wolf did not try to do any harm. Instead he seemed to be helping the Shepherd take care of the Sheep. At last the Shepherd got so used to seeing the Wolf about that he forgot how wicked he could be.One day he even went so far as to leave his flock in the Wolf's care while he went on an errand. But when he came back and saw how many of the flock had been killed and carried off, he knew how foolish to trust a Wolf.Once a wolf, always a wolf.","Once a wolf, always a wolf."
The Ass & the Grasshoppers,"One day as an Ass was walking in the pasture, he found some Grasshoppers chirping merrily in a grassy corner of the field.He listened with a great deal of admiration to the song of the Grasshoppers. It was such a joyful song that his pleasure-loving heart was filled with a wish to sing as they did.""What is it?"" he asked very respectfully, ""that has given you such beautiful voices? Is there any special food you eat, or is it some divine nectar that makes you sing so wonderfully?""""Yes,"" said the Grasshoppers, who were very fond of a joke; ""it is the dew we drink! Try some and see.""So thereafter the Ass would eat nothing and drink nothing but dew.Naturally, the poor foolish Ass soon died.The laws of nature are unchangeable.",The laws of nature are unchangeable.
The Peacock & the Crane,"A Peacock, puffed up with vanity, met a Crane one day, and to impress him spread his gorgeous tail in the Sun.""Look,"" he said. ""What have you to compare with this? I am dressed in all the glory of the rainbow, while your feathers are gray as dust!""The Crane spread his broad wings and flew up toward the sun.""Follow me if you can,"" he said. But the Peacock stood where he was among the birds of the barnyard, while the Crane soared in freedom far up into the blue sky.The useful is of much more importance and value, than the ornamental.","The useful is of much more importance and value, than the ornamental."
